doc_id :1
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 是 7
是 非 无
非 非 无
非 非 无
doc_id :2
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 是 9
非 非 无
是 非 无
doc_id :3
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :4
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :5
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
是 是 7
doc_id :6
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
是 是 6
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :8
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 是 8
是 非 无
doc_id :10
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 是 8
是 非 无
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :11
非 非 无
非 非 无
非 非 无
非 是 5
是 非 无
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :12
非 非 无
非 非 无
非 非 无
非 是 无
非 非 无
是 非 无
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :13
非 非 无
非 非 无
非 非 无
非 非 无
非 是 无
非 非 无
非 非 无
doc_id :14
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
是 是 6
非 非 无
doc_id :16
非 非 无
非 非 无
非 非 无
非 非 无
是 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :17
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 是 7
是 非 无
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :18
非 非 无
是 是 2
doc_id :19
非 非 无
非 非 无
非 非 无
非 非 无
非 是 6
是 非 无
非 是 6
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :20
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 是 7
非 非 无
doc_id :21
非 非 无
非 非 无
非 是 无
是 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :22
非 是 无
非 非 无
是 非 无
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :23
非 非 无
非 是 4
非 非 无
是 非 无
doc_id :24
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
是 是 8
doc_id :25
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 是 9
非 非 无
是 非 无
非 非 无
doc_id :26
非 非 无
非 非 无
非 是 无
非 非 无
是 非 5
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 13
是 非 无
非 非 无
doc_id :27
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 14
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :28
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
是 是 7
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :29
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 是 18
是 非 无
是 非 无
doc_id :30
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 是 8
是 非 无
doc_id :31
是 非 无
非 是 1
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :32
非 非 无
非 非 无
非 是 无
是 非 无
非 非 无
非 非 无
doc_id :33
非 非 无
非 非 无
非 非 无
非 非 无
是 是 5
非 非 无
非 非 无
doc_id :34
非 是 2
是 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :35
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
是 是 8
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :36
非 非 无
非 非 无
非 非 无
非 非 无
非 是 6
是 非 无
非 非 无
非 非 无
非 非 无
doc_id :37
非 非 无
非 非 无
非 非 无
非 是 无
非 非 无
是 非 无
非 非 无
doc_id :38
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :39
非 非 无
非 非 无
非 是 4
是 非 无
是 非 无
非 非 无
doc_id :41
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 是 13
非 非 无
doc_id :42
非 非 无
非 非 无
非 非 无
非 是 5
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 是 13
是 非 无
doc_id :44
非 非 无
非 非 无
非 非 无
非 是 5
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :46
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 是 12
是 非 无
doc_id :47
非 非 无
非 非 无
非 是 4
是 非 无
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :48
非 非 无
非 非 无
非 非 无
非 是 6
非 是 6
是 非 无
非 非 无
非 非 无
doc_id :49
非 非 无
非 非 无
非 非 无
非 非 5
是 是 5
非 非 无
非 非 无
doc_id :50
非 非 无
非 非 无
非 非 无
非 是 5
是 非 无
doc_id :51
非 非 无
非 非 无
非 非 无
非 非 无
非 是 6
是 非 无
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :52
非 非 无
非 非 3
是 是 3
非 非 无
非 非 无
非 非 无
doc_id :53
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
是 是 8
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :54
是 非 无
非 是 无
非 非 无
非 非 无
非 是 7
非 非 无
是 非 无
非 非 无
doc_id :56
非 是 2
是 非 无
非 非 无
非 非 无
是 非 无
doc_id :57
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 是 12
非 非 无
是 非 无
doc_id :58
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 是 11
非 是 11
是 非 无
doc_id :59
非 是 2
是 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :60
非 非 无
非 是 3
是 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :61
非 非 无
非 非 无
非 非 无
非 是 6
非 是 6
是 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :62
非 非 无
非 非 无
非 是 4
是 非 无
doc_id :63
非 非 无
非 非 无
非 非 无
是 是 4
doc_id :64
非 非 无
非 非 无
非 非 无
非 非 无
非 是 6
是 非 无
非 非 无
非 非 无
doc_id :65
非 非 无
非 是 3
是 非 无
非 非 无
非 非 无
非 非 无
doc_id :66
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 是 7
是 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 是 无
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :67
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :68
非 是 2
是 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :69
非 非 无
非 非 无
非 非 无
是 是 4
非 非 无
是 是 6
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :71
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 是 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :72
非 非 无
非 非 无
非 非 无
非 非 无
非 是 无
非 是 7
是 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :73
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :74
非 非 无
非 是 3
是 非 无
非 非 无
非 非 无
doc_id :75
非 非 无
非 非 无
非 非 无
非 是 3
doc_id :76
非 非 无
非 非 无
非 非 无
非 非 无
非 是 6
非 非 无
doc_id :77
非 非 无
非 非 无
是 是 3
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
非 非 无
doc_id :78
非 非 无
非 是 无
非 非 无
非 是 5
